filename,start_time,end_time,duration_min,distance_km,pace_min_per_km,elevation_gain,avg_speed_ms,max_speed_ms,avg_speed_kmh,activity_type,is_run,num_points,date
route_2024-03-22_3.50pm.gpx,2024-03-22 13:49:31,2024-03-22 14:50:04,60.5,8.72,6.94,100.1,2.42,3.97,8.7,Run,True,3615,2024-03-22
route_2024-04-21_12.10pm.gpx,2024-04-21 09:33:48,2024-04-21 10:10:26,36.6,6.24,5.87,45.0,3.06,4.11,11.0,Run,True,1984,2024-04-21
route_2024-05-17_2.54pm.gpx,2024-05-17 12:25:06,2024-05-17 12:54:57,29.9,6.04,4.94,38.0,3.37,4.33,12.1,Run,True,1792,2024-05-17
route_2024-06-05_2.15pm.gpx,2024-06-05 12:02:27,2024-06-05 12:15:45,13.3,3.98,3.34,23.2,5.48,8.07,19.7,Run,True,799,2024-06-05
route_2024-06-05_3.54pm.gpx,2024-06-05 13:35:36,2024-06-05 13:54:00,18.4,4.38,4.2,14.9,4.93,8.36,17.7,Run,True,1105,2024-06-05
route_2024-06-05_5.55pm.gpx,2024-06-05 15:44:22,2024-06-05 15:55:11,10.8,3.11,3.48,16.9,5.69,8.49,20.5,Run,True,638,2024-06-05
route_2024-06-09_5.53pm.gpx,2024-06-09 14:47:43,2024-06-09 15:53:34,65.8,8.58,7.68,39.7,4.12,9.2,14.8,Run,True,2903,2024-06-09
route_2024-07-21_1.29pm.gpx,2024-07-21 11:12:08,2024-07-21 11:29:00,16.9,5.47,3.09,23.2,5.74,7.73,20.7,Run,True,1013,2024-07-21
route_2024-07-21_12.20pm.gpx,2024-07-21 09:55:34,2024-07-21 10:20:53,25.3,5.54,4.57,33.1,4.66,7.13,16.8,Run,True,1520,2024-07-21
route_2024-07-21_7.54pm.gpx,2024-07-21 17:32:58,2024-07-21 17:54:57,22.0,3.96,5.55,17.3,4.16,6.01,15.0,Run,True,1320,2024-07-21
route_2024-07-24_12.30pm.gpx,2024-07-24 10:24:24,2024-07-24 10:30:30,6.1,1.91,3.2,8.5,6.18,7.75,22.2,Run,True,367,2024-07-24
route_2024-07-25_4.28pm.gpx,2024-07-25 14:21:27,2024-07-25 14:28:50,7.4,2.15,3.44,11.1,5.23,8.06,18.8,Run,True,444,2024-07-25
route_2024-07-25_5.45pm.gpx,2024-07-25 15:35:03,2024-07-25 15:45:10,10.1,2.55,3.97,19.4,5.29,7.52,19.1,Run,True,604,2024-07-25
route_2024-07-29_7.35pm.gpx,2024-07-29 17:24:50,2024-07-29 17:35:16,10.4,1.89,5.52,9.9,4.02,5.44,14.5,Run,True,620,2024-07-29
route_2024-08-09_2.07pm.gpx,2024-08-09 11:57:03,2024-08-09 12:07:27,10.4,3.67,2.83,24.5,5.98,8.22,21.5,Run,True,625,2024-08-09
route_2024-08-09_3.16pm.gpx,2024-08-09 13:03:08,2024-08-09 13:16:32,13.4,4.38,3.06,23.0,6.05,7.94,21.8,Run,True,805,2024-08-09
route_2024-08-12_1.07pm.gpx,2024-08-12 10:51:56,2024-08-12 11:07:28,15.5,5.19,2.99,22.2,6.24,7.68,22.5,Run,True,933,2024-08-12
route_2024-08-12_11.59am.gpx,2024-08-12 09:49:10,2024-08-12 09:59:57,10.8,4.22,2.56,22.7,6.7,9.12,24.1,Run,True,648,2024-08-12
route_2024-08-16_7.02pm.gpx,2024-08-16 16:57:26,2024-08-16 17:02:14,4.8,0.65,7.38,4.3,3.33,5.72,12.0,Run,True,289,2024-08-16
route_2024-08-24_3.07pm.gpx,2024-08-24 12:56:01,2024-08-24 13:07:14,11.2,1.9,5.9,10.1,4.67,6.88,16.8,Run,True,674,2024-08-24
route_2024-08-24_5.40pm.gpx,2024-08-24 15:33:03,2024-08-24 15:40:45,7.7,1.63,4.72,10.4,3.99,6.67,14.4,Run,True,463,2024-08-24
route_2024-08-30_3.17pm.gpx,2024-08-30 13:03:25,2024-08-30 13:17:19,13.9,3.97,3.5,25.1,5.62,7.96,20.2,Run,True,835,2024-08-30
route_2024-08-30_4.28pm.gpx,2024-08-30 14:10:59,2024-08-30 14:28:51,17.9,5.66,3.16,29.8,6.07,8.22,21.8,Run,True,1073,2024-08-30
route_2024-09-23_1.41pm.gpx,2024-09-23 11:34:17,2024-09-23 11:41:07,6.8,2.37,2.88,9.5,6.31,7.48,22.7,Run,True,411,2024-09-23
route_2025-03-29_1.53pm.gpx,2025-03-29 12:08:44,2025-03-29 12:53:43,45.0,8.66,5.19,47.6,4.44,7.11,16.0,Run,True,2699,2025-03-29
route_2025-04-06_3.50pm.gpx,2025-04-06 13:29:43,2025-04-06 13:50:02,20.3,2.85,7.13,48.2,3.46,5.86,12.5,Run,True,1220,2025-04-06
route_2025-04-06_5.15pm.gpx,2025-04-06 14:11:18,2025-04-06 15:15:58,64.7,7.65,8.45,62.2,4.16,9.15,15.0,Run,True,1930,2025-04-06
route_2025-04-19_12.25pm.gpx,2025-04-19 09:56:44,2025-04-19 10:25:51,29.1,3.79,7.69,53.5,4.24,6.9,15.3,Run,True,1122,2025-04-19
route_2025-04-27_4.37pm.gpx,2025-04-27 13:44:20,2025-04-27 14:37:52,53.5,10.02,5.34,58.1,4.8,7.01,17.3,Run,True,3212,2025-04-27
route_2025-04-27_6.32pm.gpx,2025-04-27 16:15:52,2025-04-27 16:32:40,16.8,4.54,3.7,37.2,4.97,7.35,17.9,Run,True,1008,2025-04-27
route_2025-05-18_12.37pm.gpx,2025-05-18 09:45:43,2025-05-18 10:37:29,51.8,10.29,5.03,38.3,4.35,6.93,15.7,Run,True,3106,2025-05-18
route_2025-05-18_2.13pm.gpx,2025-05-18 11:55:01,2025-05-18 12:13:13,18.2,5.37,3.39,15.4,5.6,7.54,20.2,Run,True,1092,2025-05-18
route_2025-06-15_3.38pm.gpx,2025-06-15 13:29:16,2025-06-15 13:38:19,9.1,1.02,8.9,23.5,3.95,6.05,14.2,Run,True,543,2025-06-15
route_2025-06-21_4.55pm.gpx,2025-06-21 14:37:11,2025-06-21 14:55:37,18.4,3.98,4.63,21.0,5.01,7.27,18.0,Run,True,1104,2025-06-21
route_2025-06-22_11.10am.gpx,2025-06-22 08:55:25,2025-06-22 09:10:14,14.8,2.22,6.67,22.8,4.69,6.67,16.9,Run,True,890,2025-06-22
route_2025-07-13_7.56am.gpx,2025-07-13 05:48:14,2025-07-13 05:56:04,7.8,1.58,4.94,20.5,5.18,7.25,18.7,Run,True,470,2025-07-13
route_2025-07-13_9.59am.gpx,2025-07-13 07:56:12,2025-07-13 07:59:18,3.1,0.87,3.55,23.7,5.83,7.34,21.0,Run,True,186,2025-07-13
route_2025-08-10_1.20pm.gpx,2025-08-10 10:38:03,2025-08-10 11:20:06,42.0,9.32,4.51,59.0,4.57,8.29,16.4,Run,True,2499,2025-08-10
