date,resting_hr,min_hr,max_hr,measurements
2020-05-28,59.2,56.0,119.0,189
2020-05-29,59.5,55.0,106.0,204
2020-05-30,67.1,60.0,113.0,200
2020-05-31,60.2,58.0,84.7,79
2020-06-01,57.2,53.0,115.8,183
2020-06-02,55.7,52.0,79.0,181
2020-06-03,57.4,52.0,81.0,198
2020-06-04,66.5,61.0,122.0,183
2020-06-05,58.9,54.0,102.0,152
2020-06-06,59.2,57.0,103.0,187
2020-06-07,58.7,55.0,119.6,185
2020-06-08,59.8,54.0,115.0,189
2020-06-09,60.0,58.0,82.0,134
2020-06-10,59.3,54.0,87.0,192
2020-06-11,59.4,58.0,119.8,178
2020-06-12,63.4,59.0,119.4,214
2020-06-13,61.6,57.0,106.2,170
2020-06-14,59.0,52.0,161.0,161
2020-06-15,56.4,54.0,110.0,201
2020-06-16,56.4,45.0,97.0,180
2020-06-17,59.5,56.0,124.0,220
2020-06-18,59.6,57.0,134.0,226
2020-06-19,59.6,55.0,135.0,218
2020-06-20,64.5,59.0,109.6,208
2020-06-21,63.2,59.0,104.0,186
2020-06-22,59.9,55.0,95.0,180
2020-06-23,67.0,64.0,155.0,145
2020-06-24,60.4,52.0,105.0,142
2020-06-25,62.7,59.0,108.0,157
2020-06-26,55.4,48.5,137.0,180
2020-06-27,56.8,53.0,91.0,164
2020-06-28,55.5,53.0,98.0,162
2020-06-29,54.8,53.0,85.0,183
2020-06-30,55.4,53.0,81.0,179
2020-07-01,58.4,56.0,102.1,156
2020-07-02,61.9,56.0,112.1,205
2020-07-03,55.4,53.0,91.0,170
2020-07-04,58.8,56.0,120.6,183
2020-07-05,57.0,55.0,80.9,141
2020-07-06,54.5,42.0,83.0,161
2020-07-07,57.3,52.0,127.4,204
2020-07-08,57.9,55.0,124.0,185
2020-07-09,58.5,50.0,111.0,192
2020-07-10,55.8,54.0,83.0,170
2020-07-11,59.2,43.0,176.0,164
2020-07-12,61.5,59.0,120.0,216
2020-07-13,55.0,52.0,96.0,192
2020-07-14,56.2,54.0,107.0,181
2020-07-15,68.8,62.0,125.2,145
2020-07-16,60.1,58.0,98.3,198
2020-07-17,57.0,52.0,109.4,199
