start_time,km,split_time_sec,split_pace_min,avg_speed_ms,date
2020-03-07 21:45:19,2,750.0,12.5,1.33,2020-03-07
2020-03-07 08:16:18,1,608.0,10.13,1.65,2020-03-07
2020-03-07 08:16:18,2,628.0,10.47,1.59,2020-03-07
2020-03-07 08:16:18,3,597.0,9.95,1.68,2020-03-07
2020-03-09 18:57:01,1,718.0,11.97,1.39,2020-03-09
2020-03-09 18:57:01,2,976.0,16.27,1.1,2020-03-09
2020-03-09 18:57:01,3,782.0,13.03,1.28,2020-03-09
2020-03-09 18:57:01,4,704.0,11.73,1.42,2020-03-09
2020-03-10 15:49:03,1,639.0,10.65,1.57,2020-03-10
2020-03-10 15:49:03,2,645.0,10.75,1.55,2020-03-10
2020-03-10 15:49:03,3,624.0,10.4,1.6,2020-03-10
2020-03-11 15:44:04,1,667.0,11.12,1.5,2020-03-11
2020-03-11 15:44:04,2,427.0,7.12,3.35,2020-03-11
2020-03-11 15:44:04,3,221.0,3.68,4.51,2020-03-11
2020-03-11 15:44:04,4,125.0,2.08,8.03,2020-03-11
2020-03-11 06:36:56,1,642.0,10.7,1.56,2020-03-11
2020-03-11 06:36:56,2,694.0,11.57,1.44,2020-03-11
2020-03-11 06:36:56,3,652.0,10.87,1.54,2020-03-11
2020-03-12 11:47:58,1,1114.0,18.57,0.92,2020-03-12
2020-03-13 15:15:05,1,591.0,9.85,1.69,2020-03-13
2020-03-13 15:15:05,2,612.0,10.2,1.64,2020-03-13
2020-03-13 15:15:05,3,637.0,10.62,1.57,2020-03-13
2020-03-13 07:03:22,1,610.0,10.17,1.64,2020-03-13
2020-03-13 07:03:22,2,618.0,10.3,1.62,2020-03-13
2020-03-13 07:03:22,3,582.0,9.7,1.72,2020-03-13
2020-03-16 20:56:03,1,643.0,10.72,1.56,2020-03-16
2020-03-16 20:56:03,2,638.0,10.63,1.57,2020-03-16
2020-03-16 20:56:03,3,697.0,11.62,1.44,2020-03-16
2020-03-16 20:56:03,4,666.0,11.1,1.51,2020-03-16
2020-03-17 20:54:25,1,728.0,12.13,1.38,2020-03-17
2020-03-17 20:54:25,2,737.0,12.28,1.36,2020-03-17
2020-03-18 18:00:20,1,698.0,11.63,1.43,2020-03-18
2020-03-18 18:00:20,2,839.0,13.98,1.19,2020-03-18
2020-03-18 18:00:20,3,913.0,15.22,1.1,2020-03-18
2020-03-18 18:00:20,4,1736.0,28.93,0.86,2020-03-18
