date,steps
2019-02-02,2672
2019-02-03,1641
2019-02-04,3925
2019-02-05,1343
2019-02-06,1035
2019-02-07,6860
2019-02-08,5513
2019-02-09,5053
2019-02-10,3530
2019-02-11,390
2019-02-12,3896
2019-02-13,3721
2019-02-14,3795
2019-02-15,2663
2019-02-16,1566
2019-02-17,2026
2019-02-18,5178
2019-02-19,1524
2019-02-20,4294
2019-02-21,1121
2019-02-22,4885
2019-02-23,6289
2019-02-24,1683
2019-02-25,1626
2019-02-26,4575
2019-02-27,4450
2019-02-28,4382
2019-03-01,2160
2019-03-02,11365
2019-03-03,3804
2019-03-04,1012
2019-03-05,1392
2019-03-06,857
2019-03-07,930
2019-03-08,1082
2019-03-09,2166
2019-03-10,1766
2019-03-11,2300
2019-03-12,3990
2019-03-13,1022
2019-03-14,1010
2019-03-15,2015
2019-03-16,2187
2019-03-17,2146
2019-03-18,1386
2019-03-19,5259
2019-03-20,2335
2019-03-21,5128
2019-03-22,7137
2019-03-23,1722
2019-03-24,2939
2019-03-25,4601
2019-03-26,787
2019-03-27,5499
2019-03-28,5406
2019-03-29,1483
2019-03-30,7427
2019-03-31,3692
2019-04-01,3840
2019-04-02,1850
2019-04-03,4835
2019-04-04,5464
2019-04-05,763
2019-04-06,2659
2019-04-07,4791
2019-04-08,2039
2019-04-09,5158
2019-04-10,4935
2019-04-11,4842
2019-04-12,5687
2019-04-13,3400
2019-04-14,6509
2019-04-15,2844
2019-04-16,4556
2019-04-17,4404
2019-04-18,4895
2019-04-19,5049
2019-04-20,2789
2019-04-21,2656
2019-04-22,5813
2019-04-23,5210
2019-04-24,1041
2019-04-25,4116
2019-04-26,3407
2019-04-27,12871
2019-04-28,4249
2019-04-29,6229
2019-04-30,6223
2019-05-01,3374
2019-05-02,4708
2019-05-03,6164
2019-05-04,4721
2019-05-05,8661
2019-05-06,689
2019-05-07,2936
2019-05-08,789
2019-05-09,1274
2019-05-10,1544
2019-05-11,1944
2019-05-12,3647
2019-05-13,3878
2019-05-14,2869
2019-05-15,1964
2019-05-16,1440
2019-05-17,4595
2019-05-18,3363
2019-05-19,1437
2019-05-20,2357
2019-05-21,4777
2019-05-22,4348
2019-05-23,1660
2019-05-24,4909
2019-05-25,2769
2019-05-26,723
2019-05-27,4548
2019-05-28,1675
2019-05-29,1519
2019-05-30,3453
2019-05-31,1578
2019-06-01,1128
2019-06-02,1974
2019-06-03,1625
2019-06-04,6831
2019-06-05,6007
2019-06-06,1845
2019-06-07,5035
2019-06-08,6993
2019-06-09,7072
2019-06-10,2955
2019-06-11,7533
2019-06-12,2571
2019-06-13,5230
2019-06-14,2245
2019-06-15,3254
2019-06-16,10754
2019-06-17,4004
2019-06-18,3527
2019-06-19,3935
2019-06-20,2995
2019-06-21,3223
2019-06-22,10683
2019-06-23,4285
2019-06-24,1093
2019-06-25,1597
2019-06-26,3466
2019-06-27,6370
2019-06-28,24059
2019-06-29,28959
2019-06-30,19337
2019-07-01,1407
2019-07-02,5184
2019-07-03,5613
2019-07-04,1276
2019-07-05,1953
2019-07-06,4509
2019-07-07,2334
2019-07-08,5903
2019-07-09,2379
2019-07-10,1632
2019-07-11,2100
2019-07-12,3354
2019-07-13,6756
2019-07-14,4763
2019-07-15,4203
2019-07-16,4671
2019-07-17,11752
2019-07-18,14021
2019-07-19,11633
2019-07-20,6451
2019-07-21,8790
2019-07-22,11104
2019-07-23,10481
2019-07-24,11934
2019-07-25,9061
2019-07-26,18731
2019-07-27,6226
2019-07-28,2277
2019-07-29,1606
2019-07-30,4388
2019-07-31,1058
2019-08-01,1695
2019-08-02,2566
2019-08-03,19260
2019-08-04,17120
2019-08-05,269
2019-08-06,4091
2019-08-07,4139
2019-08-08,2653
2019-08-09,1562
2019-08-10,3625
2019-08-11,1327
2019-08-12,1450
2019-08-13,6776
2019-08-14,3361
2019-08-15,2429
2019-08-16,1714
2019-08-17,1157
2019-08-18,1136
2019-08-19,1235
2019-08-20,4423
2019-08-21,2551
2019-08-22,1405
2019-08-23,3338
2019-08-24,16092
2019-08-25,6422
2019-08-26,703
2019-08-27,4183
2019-08-28,4739
2019-08-29,1744
2019-08-30,2553
2019-08-31,5726
2019-09-01,4238
2019-09-02,3346
2019-09-03,2061
2019-09-04,1555
2019-09-05,2307
2019-09-06,6817
2019-09-07,9680
2019-09-08,3186
2019-09-09,5028
2019-09-10,8613
2019-09-11,4274
2019-09-12,4942
2019-09-13,4197
2019-09-14,4124
2019-09-15,2099
2019-09-16,826
2019-09-17,7123
2019-09-18,8147
2019-09-19,13664
2019-09-20,12835
2019-09-21,25389
2019-09-22,9031
2019-09-23,8399
2019-09-24,10300
2019-09-25,12731
2019-09-26,10679
2019-09-27,15383
2019-09-28,8432
2019-09-29,5460
2019-09-30,22367
2019-10-01,13494
2019-10-02,12775
2019-10-03,13973
2019-10-04,19264
2019-10-05,53827
2019-10-06,22535
2019-10-07,5865
2019-10-08,13624
2019-10-09,6561
2019-10-10,14127
2019-10-11,15444
2019-10-12,16963
2019-10-13,16112
2019-10-14,20127
2019-10-15,7692
2019-10-16,6529
2019-10-17,13111
2019-10-18,13185
2019-10-19,8289
2019-10-20,6104
2019-10-21,9415
2019-10-22,11522
2019-10-23,13189
2019-10-24,23014
2019-10-25,26991
2019-10-26,6016
2019-10-27,17079
2019-10-28,10238
2019-10-29,3616
2019-10-30,3492
2019-10-31,5943
2019-11-01,9115
2019-11-02,8256
2019-11-03,6022
2019-11-04,38963
2019-11-05,9711
2019-11-06,10941
2019-11-07,8007
2019-11-08,6829
2019-11-09,6737
2019-11-10,25218
2019-11-11,11825
2019-11-12,7869
2019-11-13,12985
2019-11-14,12323
2019-11-15,8717
2019-11-16,7752
2019-11-17,4855
2019-11-18,4527
2019-11-19,9577
2019-11-20,7887
2019-11-21,7654
2019-11-22,9147
2019-11-23,7839
2019-11-24,8438
2019-11-25,12133
2019-11-26,10739
2019-11-27,6735
2019-11-28,6411
2019-11-29,11967
2019-11-30,10784
2019-12-01,2123
2019-12-02,679
2019-12-03,3186
2019-12-04,4045
2019-12-05,12366
2019-12-06,7672
2019-12-07,11712
2019-12-08,9150
2019-12-09,6548
2019-12-10,11103
2019-12-11,8740
2019-12-12,18950
2019-12-13,11387
2019-12-14,9721
2019-12-15,12354
2019-12-16,10109
2019-12-17,3626
2019-12-18,13243
2019-12-19,6706
2019-12-20,7093
2019-12-21,20685
2019-12-22,19683
2019-12-23,10823
2019-12-24,8791
2019-12-25,6900
2019-12-26,6126
2019-12-27,8698
2019-12-28,16508
2019-12-29,38658
2019-12-30,15001
2019-12-31,21676
2020-01-01,9574
